start_date,end_date,title_ja,title_en,event_ja,event_en
2025/6/1,2025/6/1,原著論文が掲載されました,The paper was published in IEICE trans on info & sys,"電子情報通信学会和文論文誌（D）に論文が掲載されました．タイトルは""Online Communication Environment Design for Encouraging Reciprocal Use of Information among Groups""．","An article was published in the IEICE Transactions on Information and Systems. The title is ""Online Communication Environment Design for Encouraging Reciprocal Use of Information among Groups."""
2025/5/31,2025/5/31,市民公開シンポジウムのスタッフを務めました．,Served as a staff member at a public symposium,静岡大学デジタルソーシャルトラスト研究所が主催する市民公開シンポジウムのスタッフを務めました．,"Served as a staff member at a public symposium organized by the Digital Social Trust Research Institute, Shizuoka University."
2025/5/27,2025/5/30,JSAI2025のオーガナイズドセッションで口頭発表,Presented at the JSAI2025,グランキューブ大阪（大阪市）で開催された2025年度人工知能学会全国大会（第39回）で口頭発表をしました．タイトルは「多重参与を実現するオンライン対話システムにおける音像定位の利用」．,"Presented orally at the 39th Annual Conference of the Japanese Society for Artificial Intelligence (JSAI2025) held at Grand Cube Osaka (Osaka City). The title is ""Utilizing Sound Image Localization in an Online Dialogue System for Enabling Multi-layered Participation."""
2024/11/4,2024/11/4,論文が採択されました,Paper Accepted,"投稿論文が採択されました．タイトルは""Online Communication Environment Design for Encouraging Reciprocal Use of Information among Groups.""","The paper submitted has been accepted for publication. The title is ""Online Communication Environment Design for Encouraging Reciprocal Use of Information among Groups."""
2024/9/12,2024/9/14,日本認知科学会第40回大会においてポスター発表をしました,Presented at the 40th Annual Conference of the Japanese Cognitive Science Society (JCSS2024),東京大学本郷キャンパス（文京区）で開催された日本認知科学会第40回大会においてポスター発表をしました．タイトルは「オンライン対話システムを介した集団同士において創造的なアイデア形成を実現するインタラクションデザイン」．また同会におけるオーガナイズドセッション「ローカルエコーチェンバーのステアリングに向けた認知研究」において，自身の研究について発表しました．,"Presented a poster at the 40th Annual Conference of the Japanese Cognitive Science Society (JCSS2024) held at the University of Tokyo Hongo Campus (Bunkyo-ku). The presentation title was ""Interaction Design for Facilitating Creative Idea Formation Among Groups via Online Communication System."" Additionally, gave a presentation on personal research in an organized session titled ""Cognitive Research for Steering Local Echo Chambers."""
2024/8/21,2024/8/23,認知的コミュニケーションワークショップ2024で発表,Presented at the Cognitive Communication Workshop 2024,あいち健康の森プラザホテル（知多郡）で開催された認知的コミュニケーションワークショップ2024で研究発表をしました．,Presented my research at the Cognitive Communication Workshop 2024 held at Aichi Health Plaza Hotel (Chita District).
2024/5/28,2024/5/31,2024年度人工知能学会全国大会（第38回）で発表,Presented at the 38th Annual Conference of the Japanese Society for Artificial Intelligence (JSAI2024),アクトシティ浜松（浜松市）で開催された2024年度人工知能学会全国大会（第38回）で口頭発表をしました．タイトルは「集団問題解決場面における集合的知性を有効に利用するためのオンライン対話環境デザイン」．また同会で現地スタッフを務めました．,"Presented orally at the 38th Annual Conference of the Japanese Society for Artificial Intelligence (JSAI2024) held at Act City Hamamatsu (Hamamatsu City). The title is ""Online Communication Environment Design for Effective Use of Collective Intelligence in Group Problem Solving."" Served as a local staff member at the same conference."
2024/4/1,2024/4/1,大学院に入学しました,Started Graduate School,静岡大学創造科学技術大学院自然科学系教育部情報科学専攻に入学しました．,"Enrolled in Graduate School of Science and Technology, Shizuoka University."
2024/3/21,2024/3/21,学位を取得しました,Degree Awarded,アクトシティ浜松（浜松市）で開催された令和5年度静岡大学学位記授与式に参加しました．静岡大学大学院総合科学技術研究科情報学専攻を卒業し，修士（情報学）を取得しました．,Participated in the 2024 Shizuoka University Degree Conferment Ceremony at Act City Hamamatsu (Hamamatsu City). Graduated from the Graduate School of Integrated Science and Technology at Shizuoka University with a Master's Degree in Informatics.
2024/3/13,2024/3/13,奨励金に採用されました,Selected for Research Grant,一般財団法人テレコム先端技術研究支援センターSCAT研究奨励金に採用されました．,Selected for the Research Grant of Support Center for Advanced Telecommunications Technology Research (SCAT). 
2024/3/6,2024/3/8,情報処理学会インタラクション2024で発表,Website Updated,一橋講堂（千代田区）で開催された情報処理学会インタラクション2024でポスター発表をしました．タイトルは「オンライン対話システムを利用した創造的な問題解決を実現する多重参与デザイン」．,"Presented a poster at the IPSJ Interaction 2024 held at Hitotsubashi Hall (Chiyoda-ku). The title is ""Multi-Dialogue Participation Design for Creative Problem Solving Using an Online Communication System."""
2024/3/5,2024/3/5,対外発表,Presented at the HAI Symposium 2024,静岡大学浜松キャンパスで開催されたHAIシンポジウム2024において学生スタッフを務めました．,Served as a student staff at the HAI Symposium 2024 held at Shizuoka University Hamamatsu Campus.
2024/3/2,2024/3/3,ヒューマンコミュニケーション基礎（HCS）2024年3月研究会で発表,Presented at the Human Communication Society (HCS) Research Meeting in March 2024,常葉大学草薙キャンパス（静岡市）で開催されたヒューマンコミュニケーション基礎（HCS）2024年3月研究会で口頭発表をしました．タイトルは「集団での問題解決場面において集合的知性を有効に利用するためのオンライン対話環境デザイン」．,"Presented orally at the Human Communication Society (HCS) Research Meeting in March 2024 held at Tokoha University Kusanagi Campus (Shizuoka City). The title is ""Online Dialogue Environment Design for Effective Use of Collective Intelligence in Group Problem Solving."""
2024/2/6,2024/2/6,対外発表,Website Updated,修士論文発表会が実施され，研究成果を発表しました．タイトルは「参与構造理論に立脚したオンライン対話システムにおける多重参与デザイン」．,"Presented research results at the Master's Thesis Presentation. The title is ""Multi-Dialogue Participation Design for Voice Communication System Based on Participation Structure."""
2023/9/14,2023/9/16,対外発表,Presented at the 22nd Cognitive Communication Workshop,伊豆山研修センター（熱海市）で開催された第22回認知的コミュニケーションワークショップにおいて研究成果の発表をしました．,Presented research results at the 22nd Cognitive Communication Workshop held at Izu-yama Kensyu Center (Atami City).
2023/9/7,2023/9/9,対外発表,Presented at the 40th Annual Meeting of Japanese Cognitive Science Society (JCSS 2024),はこだて未来大学（函館市）で開催された日本認知科学会第40回大会においてポスター発表をしました．タイトルは「参与構造に立脚した遠隔対話システムにおける多重参与デザイン」．,"Presented a poster at the 40th Annual Meeting of Japanese Cognitive Science Society (JCSS 2024) held at Future University Hakodate (Hakodate City). The title is ""Multi-Dialogue Participation Design for Voice Chatting System Based on Participation Structure."""
2023/9/4,2023/9/4,対外発表,Presented a poster at the Yamaha Technology Exhibition held ...,ヤマハ（浜松市）で開催されたヤマハ技術展においてポスター発表をしました．タイトルは「対話場を多重化するオンラインコミュニケーション」．,"Presented a poster at the Yamaha Technology Exhibition held at Yamaha Corporation (Hamamatsu City). The title is ""Online Communication with Multiplexed Participation in Dialogue Spaces."""
