label,category_jp,category_en,title_jp,title_en,author_jp,author_en,conference_jp,conference_en,book_jp,book_en,issue_jp,issue_en,vol,no,page,year,month,day,note_jp,note_en,tag1_jp,tag1_en,tag2_jp,tag2_en,tag3_jp,tag3_en,tag4_jp,tag4_en,tag5_jp,tag5_en,url,key
journal,原著論文（和文）,Journal Paper,異文化コミュニケーションにおける指示詞の空間認識の違い,Spatial Perception Diﬀerences in Demonstratives within Intercultural Communication,王斌宇，市川雅也，椎久翔太，市川淳，前川知行，竹内勇剛,"Wang Binyu, Masanari Ichikawa, Shota Shiiku, Jun Ichikawa, Tomoyuki Maekawa, and Yugo Takeuchi",,,ヒューマンインタフェース学会論文誌,The Transaction of Human Interface Society (Japanese Edition),Assistive social interfaceとそのデータサイエンス,Data Science for Assistive Social Interfaces,Vol. 27,No. 3,pp. 177-186,2025,Aug,25,,,査読あり,Peer-reviewed  ,,,,Available in Japanese only,,,,,https://www.jstage.jst.go.jp/article/his/27/3/27_177/_article/-char/ja,
journal,原著論文（英文）,Journal Paper,Online Communication Environment Design for Encouraging Reciprocal Use of Information among Groups,Online Communication Environment Design for Encouraging Reciprocal Use of Information among Groups,Masanari Ichikawa and Yugo Takeuchi,Masanari Ichikawa and Yugo Takeuchi  ,,,IEICE Transactions on Information and Systems,IEICE Transactions on Information and Systems,Special Section on Human Communication VI,Special Section on Human Communication VI,Vol. E-108,No. 6,pp. 474-483,2025,Jun,1,,,査読あり,Peer-reviewed  ,,,,,,,,,https://www.jstage.jst.go.jp/article/transinf/E108.D/6/E108.D_2024HCP0010/_article/-char/ja,1
journal,原著論文（和文）,Journal Paper in Japanese,エージェントの援助に対する人の返報行動に立脚したHAIデザイン,HAI Design Based on People's Reprisal Behavior to Agents Assist,市川雅也，坂本孝丈，竹内勇剛,"Masanari Ichikawa, Takafumi Sakamoto, and Yugo Takeuchi  ",,,電子情報通信学会和文論文誌(A),"IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences (Japanese Edition)",ヒューマンコミュニケーション,Human Communication,Vol. 106-A,No. 3,pp. 114-124,2023,Mar,1,,,査読あり,Peer-reviewed  ,,,,Available in Japanese only,,,,,https://cir.nii.ac.jp/crid/1390295203824835328,2
international,国際会議,International Conference,Cross-Cultural Differences in Spatial Perception: A Study of Japanese and Chinese Demonstratives,Cross-Cultural Differences in Spatial Perception: A Study of Japanese and Chinese Demonstratives,"Binyu Wang, Weiqing Xiang, Masanari Ichikawa, Tomoyuki Maekawa, and  Yugo Takeuchi ","Binyu Wang, Weiqing Xiang, Masanari Ichikawa, Tomoyuki Maekawa, and  Yugo Takeuchi ",International Conference on Human-Computer Interaction (HCII 2025),International Conference on Human-Computer Interaction (HCII 2025),Cham: Springer,Cham: Springer,,,,,pp. 78-90,2025,Jun,25,,,査読あり,Peer-reviewed  ,口頭発表,Oral presentation,,,,,,,https://link.springer.com/chapter/10.1007/978-3-031-93730-9_6,
international,国際会議,International Conference,CallMap: A Multi-dialogue Participative Chatting Environment Based on Participation Structure,CallMap: A Multi-dialogue Participative Chatting Environment Based on Participation Structure,Masanari Ichikawa and Yugo Takeuchi,Masanari Ichikawa and Yugo Takeuchi  ,International Conference on Human-Computer Interaction (HCII 2023),International Conference on Human-Computer Interaction (HCII 2023),Cham: Springer Nature Switzerland,Cham: Springer Nature Switzerland,,,,,pp. 294-313,2023,Jul,27,,,査読あり,Peer-reviewed  ,口頭発表,Oral presentation,,,,,,,https://dl.acm.org/doi/10.1007/978-3-031-35572-1_20,
international,国際会議,International Conference,"Generation of Instruction Range Map Based on Analysis of Demonstrative Words and Spatial Domain for Reduction of Miscommunication Among Chinese, Vietnamese and Japanese in Care Facilities","Generation of Instruction Range Map Based on Analysis of Demonstrative Words and Spatial Domain for Reduction of Miscommunication Among Chinese, Vietnamese and Japanese in Care Facilities","Binyu Wang, Weiqing Xiang, Masanari Ichikawa, and Yugo Takeuchi","Binyu Wang, Weiqing Xiang, Masanari Ichikawa, and Yugo Takeuchi  ",International Conference on Human-Computer Interaction (HCII 2023),International Conference on Human-Computer Interaction (HCII 2023),Cham: Springer Nature Switzerland,Cham: Springer Nature Switzerland,,,,,pp. 176-183,2023,Jul,26,,,査読あり,Peer-reviewed  ,ポスター発表,Poster presentation,,,,,,,https://link.springer.com/chapter/10.1007/978-3-031-35998-9_25,
international,国際会議,International Conference,Perception of Supporting Agents Based on the Cognitive Responses of Recipients in a Helping Situation,Perception of Supporting Agents Based on the Cognitive Responses of Recipients in a Helping Situation,"Masanari Ichikawa, Takafumi Sakamoto, and Yugo Takeuchi","Masanari Ichikawa, Takafumi Sakamoto, and Yugo Takeuchi  ",International Conference on Human System Interaction (HSI 2022),International Conference on Human System Interaction (HSI 2022),,,,,,,pp. 1-6,2022,Jul,29,,,査読あり,Peer-reviewed  ,口頭発表,Oral presentation,,,,,,,https://ieeexplore.ieee.org/document/9869482,
international,国際会議,International Conference,Proposing an Inferential Model for Indebtedness Arising from Agents' Helping Behavior Using Bayesian Model,Proposing an Inferential Model for Indebtedness Arising from Agents' Helping Behavior Using Bayesian Model,"Masanari Ichikawa, Takafumi Sakamoto, and Yugo Takeuchi","Masanari Ichikawa, Takafumi Sakamoto, and Yugo Takeuchi  ",International Conference on Human-Agent Interaction (HAI 2021),International Conference on Human-Agent Interaction (HAI 2021),,,,,,,pp. 47-55,2021,Nov,9,,,査読あり,Peer-reviewed  ,口頭発表,Oral presentation,,,,,,,https://dl.acm.org/doi/abs/10.1145/3472307.3484174,
domestic,国内会議,Domestic Conference,多重参与を実現するオンライン対話システムにおける音像定位の利用,Enabling Multi-Dialogue Participation in Online Dialogue Systems through Sound Image Localization,市川雅也，竹内勇剛,Masanari Ichikawa and Yugo Takeuchi  ,第39回人工知能学会全国大会 (JSAI 2025),The 39th Annual Conference of the Japanese Society for Artificial Intelligence (JSAI 2025),,,,,,,3D4-OS-20a-02,2025,May,29,,,査読あり,Peer-reviewed  ,口頭発表,Oral presentation,,Available in Japanese only,,,,,https://confit.atlas.jp/guide/event/jsai2025/subject/3D4-OS-20a-02/tables?cryptoId=,
domestic,国内会議,Domestic Conference,オンライン対話システムを介した集団同士において創造的なアイデア形成を実現するインタラクションデザイン,Interaction Design for Facilitating Creative Idea Formation Among Groups via Online Communication System,市川雅也，竹内勇剛,Masanari Ichikawa and Yugo Takeuchi  ,2024年度日本認知科学会第41回大会 (JCSS 2024),The 41st Annual Conference of the Japanese Cognitive Science Society (JCSS 2024),,,,,,,P-3-37,2024,Oct,14,,,査読あり,Peer-reviewed  ,ポスター発表,Poster presentation,,Available in Japanese only,,,,,https://www.jcss.gr.jp/meetings/jcss2024/proceedings/pdf/JCSS2024_P-3-37.pdf,
